"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"João Câmara (RN)";"5208";"-";"-";"-";"-";"5333";"-";"-";"-";"-";"3500";"-";"-";"-";"-";"4085";"-";"-";"-";"-";"2765";"-";"-";"-";"-";"2065";"-";"-";"-";"-";"1590";"-";"-";"-";"-";"1360";"-";"-";"-";"-";"1126";"-";"-";"-";"-";"1041";"-";"-";"-";"-";"1156";"-";"-";"-";"-"
"João Dias (RN)";"484";"-";"0";"-";"-";"415";"-";"5";"-";"-";"323";"-";"5";"-";"-";"314";"-";"5";"-";"-";"709";"-";"5";"-";"-";"700";"-";"5";"-";"-";"706";"-";"10";"-";"-";"346";"-";"10";"-";"-";"387";"-";"3";"-";"-";"336";"-";"10";"-";"-";"395";"-";"10";"-";"-"
"José da Penha (RN)";"647";"-";"6";"-";"-";"1140";"-";"6";"-";"-";"721";"-";"6";"-";"-";"994";"-";"5";"-";"-";"1065";"-";"10";"-";"-";"749";"-";"10";"-";"-";"631";"-";"10";"-";"-";"177";"-";"-";"-";"-";"1405";"-";"-";"-";"-";"1158";"-";"-";"-";"-";"1152";"-";"-";"-";"-"
"Jucurutu (RN)";"500";"-";"-";"-";"-";"582";"-";"-";"-";"-";"355";"-";"-";"-";"-";"292";"-";"-";"-";"-";"582";"-";"-";"-";"-";"582";"-";"-";"-";"-";"422";"-";"-";"-";"-";"612";"-";"-";"-";"-";"670";"-";"-";"4";"-";"535";"-";"-";"4";"-";"325";"-";"-";"-";"-"
"Jundiá (RN)";"559";"-";"200";"-";"-";"579";"-";"200";"-";"-";"385";"-";"200";"-";"-";"532";"-";"200";"-";"-";"532";"-";"200";"-";"-";"452";"-";"200";"-";"-";"402";"-";"200";"-";"-";"357";"-";"200";"-";"-";"357";"-";"200";"-";"-";"530";"-";"300";"-";"-";"530";"-";"300";"-";"-"
"Lagoa d'Anta (RN)";"1092";"-";"-";"-";"-";"3002";"-";"-";"-";"-";"4197";"-";"-";"-";"-";"604";"-";"-";"-";"-";"974";"-";"-";"-";"-";"1194";"-";"-";"-";"-";"547";"-";"-";"-";"-";"797";"-";"-";"-";"-";"1352";"-";"-";"-";"-";"1746";"-";"-";"-";"-";"1754";"-";"-";"-";"-"
"Lagoa de Pedras (RN)";"1601";"-";"-";"-";"-";"2082";"-";"-";"-";"-";"1255";"-";"-";"-";"-";"770";"-";"-";"-";"-";"740";"-";"-";"-";"-";"655";"-";"-";"-";"-";"574";"-";"-";"-";"-";"724";"-";"-";"-";"-";"654";"-";"-";"-";"-";"474";"-";"-";"-";"-";"474";"-";"-";"-";"-"
"Lagoa de Velhos (RN)";"1186";"-";"-";"-";"-";"1052";"-";"-";"-";"-";"94";"-";"-";"-";"-";"307";"-";"-";"-";"-";"71";"-";"-";"-";"-";"429";"-";"-";"-";"-";"332";"-";"-";"-";"-";"232";"-";"-";"-";"-";"319";"-";"-";"-";"-";"522";"-";"-";"-";"-";"532";"-";"-";"-";"-"
"Lagoa Nova (RN)";"6131";"-";"-";"-";"-";"5831";"-";"-";"-";"-";"5511";"-";"-";"-";"-";"3341";"-";"-";"-";"-";"5471";"-";"-";"-";"-";"3861";"-";"-";"-";"-";"3565";"-";"-";"-";"-";"4895";"-";"-";"-";"-";"4715";"-";"-";"-";"-";"5916";"-";"-";"-";"-";"5210";"-";"-";"-";"-"
"Lagoa Salgada (RN)";"3209";"-";"-";"-";"-";"3454";"-";"-";"-";"-";"2234";"-";"-";"-";"-";"2549";"-";"-";"-";"-";"2602";"-";"-";"-";"-";"2505";"-";"-";"-";"-";"2034";"-";"-";"-";"-";"1887";"-";"-";"-";"-";"1302";"-";"-";"-";"-";"824";"-";"-";"-";"-";"524";"-";"-";"-";"-"
"Lajes (RN)";"210";"-";"-";"-";"-";"418";"-";"-";"-";"-";"35";"-";"-";"-";"-";"125";"-";"-";"-";"-";"400";"-";"-";"-";"-";"360";"-";"-";"-";"-";"1430";"-";"-";"-";"-";"950";"-";"-";"-";"-";"1680";"-";"-";"-";"-";"1150";"-";"-";"-";"-";"480";"-";"-";"-";"-"
"Lajes Pintadas (RN)";"1276";"-";"-";"-";"-";"930";"-";"-";"-";"-";"68";"-";"-";"-";"-";"210";"-";"-";"-";"-";"982";"-";"-";"-";"-";"857";"-";"-";"-";"-";"312";"-";"-";"-";"-";"472";"-";"-";"-";"-";"462";"-";"-";"-";"-";"571";"-";"-";"-";"-";"448";"-";"-";"-";"-"
"Lucrécia (RN)";"348";"-";"6";"-";"-";"452";"-";"6";"1";"-";"545";"-";"6";"-";"-";"505";"-";"-";"-";"-";"478";"-";"6";"-";"-";"142";"-";"6";"-";"-";"241";"-";"2";"-";"-";"527";"-";"2";"-";"-";"506";"-";"2";"-";"-";"483";"-";"3";"-";"-";"501";"-";"3";"-";"-"
"Luís Gomes (RN)";"1928";"-";"50";"-";"-";"1931";"-";"58";"-";"-";"1800";"-";"58";"-";"-";"1380";"-";"-";"-";"-";"1860";"-";"46";"-";"-";"453";"-";"-";"-";"-";"357";"-";"10";"-";"-";"418";"-";"-";"-";"-";"815";"-";"-";"-";"-";"738";"-";"3";"-";"-";"741";"-";"-";"-";"-"
"Macaíba (RN)";"15819";"15";"60";"-";"-";"16191";"10";"60";"-";"-";"15446";"10";"80";"-";"-";"14288";"6";"20";"-";"-";"12992";"6";"20";"-";"-";"10016";"-";"20";"-";"-";"10667";"-";"630";"-";"-";"9807";"-";"20";"-";"-";"4017";"-";"20";"-";"-";"3767";"-";"20";"-";"-";"3957";"-";"60";"-";"-"
"Macau (RN)";"515";"-";"-";"0";"150";"1125";"-";"-";"10";"150";"388";"-";"-";"-";"250";"323";"-";"-";"-";"180";"790";"-";"-";"-";"300";"855";"-";"-";"-";"390";"690";"-";"-";"-";"300";"773";"-";"-";"-";"383";"580";"-";"-";"5";"345";"525";"-";"-";"9";"250";"622";"-";"-";"6";"250"
"Major Sales (RN)";"486";"-";"30";"-";"-";"658";"-";"15";"-";"-";"477";"-";"15";"-";"-";"499";"-";"-";"-";"-";"632";"-";"15";"-";"-";"137";"-";"15";"-";"-";"113";"-";"15";"-";"-";"698";"-";"20";"-";"-";"998";"-";"20";"-";"-";"334";"-";"3";"-";"-";"369";"-";"20";"-";"-"
"Marcelino Vieira (RN)";"882";"-";"15";"-";"-";"1189";"-";"20";"-";"-";"888";"-";"-";"-";"-";"900";"-";"5";"-";"-";"1070";"-";"8";"-";"-";"826";"-";"-";"-";"-";"412";"-";"-";"-";"-";"840";"-";"-";"-";"-";"811";"-";"1";"-";"-";"817";"-";"1";"-";"-";"788";"-";"1";"-";"-"
"Martins (RN)";"1551";"-";"30";"-";"-";"1751";"-";"25";"-";"-";"1611";"-";"5";"-";"-";"1432";"-";"-";"-";"-";"1604";"-";"15";"-";"-";"1541";"-";"15";"-";"-";"656";"-";"2";"-";"-";"422";"-";"2";"-";"-";"659";"-";"2";"-";"-";"486";"-";"2";"-";"-";"527";"-";"2";"-";"-"
"Maxaranguape (RN)";"1491";"-";"80";"-";"-";"1344";"-";"1";"-";"-";"585";"17";"20";"-";"-";"662";"7";"20";"-";"-";"710";"8";"-";"-";"-";"683";"4";"-";"-";"-";"618";"4";"-";"10";"-";"2087";"-";"330";"40";"-";"2024";"-";"350";"20";"-";"2107";"-";"350";"20";"-";"2127";"-";"350";"20";"-"
"Messias Targino (RN)";"12";"-";"2";"-";"-";"216";"-";"2";"-";"-";"30";"-";"2";"-";"-";"204";"-";"2";"-";"-";"206";"-";"2";"-";"-";"231";"-";"2";"-";"-";"251";"-";"1";"-";"-";"288";"-";"1";"-";"-";"268";"-";"1";"-";"-";"308";"-";"-";"-";"-";"348";"-";"-";"-";"-"
"Montanhas (RN)";"644";"-";"120";"-";"-";"706";"-";"120";"-";"-";"498";"-";"120";"-";"-";"653";"-";"120";"-";"-";"524";"-";"120";"-";"-";"518";"-";"120";"-";"-";"522";"-";"120";"-";"-";"540";"-";"120";"-";"-";"405";"-";"120";"-";"-";"205";"-";"15";"-";"-";"180";"-";"15";"-";"-"
"Monte Alegre (RN)";"1149";"1";"50";"-";"-";"1297";"1";"50";"-";"-";"1566";"-";"50";"-";"-";"796";"-";"50";"-";"-";"771";"-";"75";"-";"-";"815";"-";"50";"-";"-";"705";"-";"50";"-";"-";"805";"-";"50";"-";"-";"755";"-";"50";"-";"-";"655";"-";"50";"-";"-";"705";"-";"50";"-";"-"
"Monte das Gameleiras (RN)";"180";"-";"-";"-";"-";"1355";"-";"-";"-";"-";"142";"-";"-";"-";"-";"306";"-";"-";"-";"-";"499";"-";"-";"-";"-";"902";"-";"-";"-";"-";"701";"-";"-";"-";"-";"601";"-";"-";"-";"-";"668";"-";"-";"-";"-";"896";"-";"-";"-";"-";"962";"-";"-";"-";"-"
"Mossoró (RN)";"15799";"-";"-";"1400";"6000";"26900";"-";"-";"1200";"6200";"17426";"-";"-";"1200";"6300";"19193";"-";"-";"1200";"6300";"18178";"-";"-";"1900";"6300";"21778";"-";"-";"2000";"6750";"15394";"-";"-";"1500";"8000";"16099";"-";"-";"2000";"8000";"17679";"-";"-";"2000";"7800";"18029";"-";"-";"2000";"7800";"19469";"-";"-";"2500";"8300"
"Natal (RN)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Nísia Floresta (RN)";"4263";"-";"713";"-";"-";"4370";"-";"720";"-";"-";"3383";"-";"750";"-";"-";"3373";"-";"750";"-";"-";"3273";"-";"750";"-";"-";"3123";"-";"750";"-";"-";"3303";"-";"750";"-";"-";"3363";"-";"750";"-";"-";"3403";"-";"750";"-";"-";"3423";"-";"750";"-";"-";"3423";"-";"750";"-";"-"
"Nova Cruz (RN)";"2021";"5";"713";"-";"-";"2021";"5";"713";"-";"-";"1436";"5";"713";"-";"-";"1543";"5";"750";"-";"-";"1433";"5";"750";"-";"-";"1147";"-";"400";"-";"-";"987";"-";"400";"-";"-";"737";"-";"400";"-";"-";"962";"-";"250";"-";"-";"847";"-";"250";"-";"-";"847";"-";"250";"-";"-"
"Olho d'Água do Borges (RN)";"58";"-";"-";"4";"-";"791";"-";"-";"4";"-";"157";"-";"-";"4";"-";"221";"-";"-";"6";"-";"230";"-";"-";"-";"-";"457";"-";"-";"-";"-";"212";"-";"-";"-";"-";"272";"-";"-";"-";"-";"1020";"-";"-";"-";"-";"1112";"-";"-";"-";"-";"1212";"-";"-";"-";"-"
"Ouro Branco (RN)";"262";"-";"2";"0";"-";"571";"-";"2";"8";"-";"82";"-";"2";"2";"-";"88";"-";"2";"2";"-";"152";"-";"-";"2";"-";"142";"-";"-";"1";"-";"238";"-";"-";"1";"-";"197";"-";"-";"-";"-";"197";"-";"-";"-";"-";"182";"-";"2";"5";"1";"176";"-";"-";"2";"-"
"Paraná (RN)";"460";"-";"15";"-";"-";"661";"-";"8";"-";"-";"449";"-";"-";"-";"-";"515";"-";"-";"-";"-";"713";"-";"10";"-";"-";"230";"-";"5";"-";"-";"127";"-";"-";"-";"-";"550";"-";"-";"-";"-";"600";"-";"-";"-";"-";"625";"-";"1";"-";"-";"665";"-";"1";"-";"-"
"Paraú (RN)";"80";"-";"-";"-";"-";"200";"-";"-";"-";"-";"10";"-";"-";"-";"-";"15";"-";"-";"-";"-";"200";"-";"-";"-";"-";"120";"-";"-";"-";"-";"160";"-";"-";"-";"-";"200";"-";"-";"-";"-";"180";"-";"-";"-";"-";"300";"-";"-";"-";"-";"180";"-";"-";"-";"-"
"Parazinho (RN)";"806";"2";"-";"0";"15";"1024";"2";"-";"10";"40";"341";"-";"-";"10";"-";"707";"2";"-";"20";"20";"442";"2";"-";"20";"20";"620";"-";"-";"-";"20";"620";"-";"-";"-";"20";"405";"-";"-";"-";"20";"497";"-";"-";"-";"20";"517";"-";"-";"-";"-";"637";"-";"-";"-";"20"
"Parelhas (RN)";"306";"-";"-";"2";"0";"791";"-";"-";"5";"2";"793";"-";"-";"2";"1";"88";"-";"-";"-";"-";"720";"-";"-";"3";"1";"643";"-";"-";"-";"-";"450";"-";"-";"4";"-";"546";"-";"-";"6";"-";"750";"-";"-";"3";"-";"679";"-";"-";"10";"-";"429";"-";"-";"6";"-"
"Rio do Fogo (RN)";"1758";"-";"-";"-";"-";"1580";"10";"-";"-";"-";"1388";"10";"-";"-";"-";"1702";"10";"-";"-";"-";"1725";"10";"-";"-";"-";"1450";"10";"-";"-";"-";"1234";"5";"-";"-";"-";"3034";"1";"-";"-";"-";"3011";"-";"-";"5";"-";"2511";"-";"-";"15";"-";"2504";"-";"-";"5";"-"
"Passa e Fica (RN)";"1029";"-";"-";"-";"-";"3147";"-";"-";"-";"-";"1932";"-";"-";"-";"-";"1635";"-";"-";"-";"-";"1024";"-";"-";"-";"-";"1258";"-";"-";"-";"-";"1063";"-";"-";"-";"-";"837";"-";"-";"-";"-";"1701";"-";"-";"-";"-";"1801";"-";"-";"-";"-";"1698";"-";"-";"-";"-"
"Passagem (RN)";"602";"-";"15";"-";"-";"690";"-";"15";"-";"-";"750";"-";"15";"-";"-";"195";"-";"15";"-";"-";"211";"-";"15";"-";"-";"292";"-";"15";"-";"-";"267";"-";"15";"-";"-";"245";"-";"15";"-";"-";"285";"-";"15";"-";"-";"180";"-";"15";"-";"-";"210";"-";"15";"-";"-"
"Patu (RN)";"20";"-";"0";"-";"-";"837";"-";"-";"-";"-";"173";"-";"-";"-";"-";"779";"-";"-";"-";"-";"867";"-";"-";"-";"-";"414";"-";"-";"-";"-";"329";"-";"-";"-";"-";"413";"-";"-";"-";"-";"518";"-";"-";"-";"-";"798";"-";"-";"-";"-";"768";"-";"-";"-";"-"
"Santa Maria (RN)";"652";"-";"-";"-";"-";"833";"-";"-";"-";"-";"107";"-";"-";"-";"-";"751";"-";"-";"-";"-";"420";"-";"-";"-";"-";"624";"-";"-";"-";"-";"577";"-";"-";"-";"-";"426";"-";"-";"-";"-";"419";"-";"-";"-";"-";"619";"-";"-";"-";"-";"628";"-";"-";"-";"-"
"Pau dos Ferros (RN)";"557";"-";"0";"-";"-";"522";"-";"-";"-";"-";"465";"-";"-";"-";"-";"267";"-";"-";"-";"-";"688";"-";"-";"-";"-";"308";"-";"-";"-";"-";"1019";"-";"-";"-";"-";"879";"-";"-";"-";"-";"583";"-";"-";"-";"-";"919";"-";"1";"-";"-";"1014";"-";"1";"-";"-"
"Pedra Grande (RN)";"214";"15";"-";"5";"35";"575";"-";"-";"10";"30";"174";"3";"-";"6";"20";"238";"-";"-";"-";"-";"315";"-";"-";"10";"-";"325";"-";"-";"-";"-";"145";"-";"-";"10";"-";"180";"-";"-";"15";"-";"385";"-";"-";"40";"-";"395";"-";"-";"40";"-";"285";"-";"-";"40";"-"
"Pedra Preta (RN)";"630";"-";"-";"-";"-";"1200";"-";"-";"-";"-";"445";"-";"-";"-";"-";"1000";"-";"-";"-";"-";"1700";"-";"-";"-";"-";"820";"-";"-";"-";"-";"1700";"-";"-";"-";"-";"710";"-";"-";"-";"-";"1100";"-";"-";"-";"-";"1110";"-";"-";"-";"-";"950";"-";"-";"-";"-"
"Pedro Avelino (RN)";"420";"-";"-";"-";"-";"1510";"-";"-";"-";"-";"70";"-";"-";"-";"35";"255";"-";"-";"-";"35";"387";"-";"-";"-";"61";"506";"-";"-";"-";"-";"600";"-";"-";"-";"-";"300";"-";"-";"-";"-";"430";"-";"-";"-";"-";"750";"-";"-";"-";"-";"650";"-";"-";"-";"-"
"Pedro Velho (RN)";"4066";"-";"2400";"-";"-";"3786";"-";"2400";"-";"-";"3397";"-";"2400";"-";"-";"3416";"-";"2400";"-";"-";"3488";"-";"2400";"-";"-";"3082";"-";"2400";"-";"-";"3108";"-";"2400";"-";"-";"3103";"-";"2400";"-";"-";"3205";"-";"2400";"30";"-";"3155";"-";"2400";"30";"-";"3195";"-";"2400";"20";"-"
"Pendências (RN)";"327";"-";"-";"5";"-";"729";"-";"-";"5";"-";"65";"-";"-";"12";"-";"255";"-";"-";"10";"-";"180";"-";"-";"-";"-";"252";"-";"-";"-";"-";"332";"-";"-";"-";"-";"583";"-";"-";"4";"2";"768";"-";"-";"4";"-";"1054";"-";"-";"3";"-";"1208";"-";"-";"4";"4"
"Pilões (RN)";"735";"-";"0";"-";"-";"498";"-";"2";"-";"-";"281";"-";"-";"-";"-";"261";"-";"-";"-";"-";"603";"-";"2";"-";"-";"91";"-";"-";"-";"-";"381";"-";"-";"-";"-";"725";"-";"-";"-";"-";"627";"-";"-";"-";"-";"402";"-";"1";"-";"-";"422";"-";"1";"-";"-"
"Poço Branco (RN)";"1416";"-";"300";"-";"-";"1301";"-";"300";"-";"-";"961";"-";"100";"-";"-";"1206";"-";"-";"-";"-";"1259";"-";"-";"-";"-";"1036";"-";"-";"-";"-";"1250";"-";"-";"-";"-";"1153";"-";"-";"-";"-";"1347";"-";"-";"-";"-";"1647";"-";"-";"-";"-";"1685";"-";"-";"-";"-"
"Portalegre (RN)";"2694";"-";"0";"-";"-";"3028";"-";"5";"-";"-";"3013";"-";"5";"-";"-";"2651";"-";"-";"-";"-";"2913";"-";"5";"-";"-";"1996";"-";"-";"-";"-";"894";"-";"3";"-";"-";"912";"-";"2";"-";"-";"800";"-";"2";"-";"-";"749";"-";"2";"-";"-";"801";"-";"4";"-";"-"
"Porto do Mangue (RN)";"1010";"-";"-";"60";"-";"1800";"-";"-";"150";"-";"1000";"-";"-";"200";"-";"905";"-";"-";"150";"-";"2500";"-";"-";"340";"-";"1657";"-";"-";"177";"-";"800";"-";"-";"100";"-";"1370";"-";"-";"485";"-";"843";"-";"-";"329";"-";"1620";"-";"-";"726";"-";"1302";"-";"-";"387";"-"
"Serra Caiada (RN)";"2569";"-";"-";"-";"-";"2502";"-";"-";"-";"-";"1924";"-";"-";"-";"-";"1500";"-";"-";"-";"-";"925";"-";"-";"-";"-";"1767";"-";"-";"-";"-";"1067";"-";"-";"-";"-";"817";"-";"-";"-";"-";"1325";"-";"-";"-";"-";"2194";"-";"-";"-";"-";"2802";"-";"-";"-";"-"
"Pureza (RN)";"3530";"15";"2050";"-";"-";"3707";"120";"2150";"-";"-";"2885";"40";"1500";"-";"-";"3707";"120";"2150";"-";"-";"2924";"120";"190";"-";"-";"2905";"230";"190";"15";"-";"3494";"130";"800";"4";"-";"6957";"120";"3000";"35";"-";"7648";"150";"3200";"15";"-";"6938";"120";"3100";"5";"-";"7446";"120";"3600";"8";"-"
"Rafael Fernandes (RN)";"524";"-";"-";"-";"-";"801";"-";"-";"-";"-";"656";"-";"-";"-";"-";"664";"-";"-";"-";"-";"347";"-";"-";"-";"-";"129";"-";"-";"-";"-";"76";"-";"-";"-";"-";"206";"-";"-";"-";"-";"301";"-";"-";"-";"-";"211";"-";"1";"-";"-";"198";"-";"3";"-";"-"
"Rafael Godeiro (RN)";"203";"-";"-";"-";"-";"327";"-";"-";"-";"-";"481";"-";"-";"-";"-";"483";"-";"-";"-";"-";"334";"-";"6";"-";"-";"222";"-";"-";"-";"-";"322";"-";"-";"-";"-";"422";"-";"-";"-";"-";"272";"-";"-";"10";"-";"468";"-";"1";"10";"-";"581";"-";"9";"18";"-"
"Riacho da Cruz (RN)";"291";"-";"-";"-";"-";"482";"-";"8";"-";"-";"472";"-";"-";"-";"-";"440";"-";"-";"-";"-";"432";"-";"8";"-";"-";"419";"-";"2";"-";"-";"347";"-";"-";"-";"-";"140";"-";"-";"-";"-";"320";"-";"-";"-";"-";"295";"-";"4";"-";"-";"305";"-";"4";"-";"-"
"Riacho de Santana (RN)";"400";"-";"-";"-";"-";"594";"-";"6";"-";"-";"385";"-";"-";"-";"-";"511";"-";"-";"-";"-";"797";"-";"2";"-";"-";"495";"-";"-";"-";"-";"419";"-";"-";"-";"-";"347";"-";"-";"-";"-";"546";"-";"-";"-";"-";"457";"-";"1";"1";"-";"476";"-";"1";"1";"-"
"Riachuelo (RN)";"740";"-";"-";"-";"-";"999";"-";"-";"-";"-";"211";"-";"-";"-";"-";"1726";"-";"-";"-";"-";"247";"-";"-";"-";"-";"946";"-";"-";"-";"-";"551";"-";"-";"-";"-";"501";"-";"-";"-";"-";"576";"-";"-";"-";"-";"946";"-";"-";"-";"-";"951";"-";"-";"-";"-"
"Rodolfo Fernandes (RN)";"551";"-";"-";"-";"-";"979";"-";"-";"-";"-";"587";"-";"-";"-";"-";"816";"-";"-";"-";"-";"765";"-";"-";"-";"-";"209";"-";"-";"-";"-";"491";"-";"-";"-";"-";"550";"-";"-";"-";"-";"558";"-";"-";"-";"-";"464";"-";"-";"-";"-";"509";"-";"-";"-";"-"
"Tibau (RN)";"201";"-";"-";"2";"15";"616";"-";"-";"5";"20";"302";"-";"-";"5";"20";"619";"-";"-";"8";"20";"958";"-";"-";"8";"500";"1985";"-";"-";"80";"1500";"2420";"-";"-";"50";"2000";"2420";"-";"-";"50";"2000";"2790";"-";"-";"400";"2020";"2640";"-";"-";"60";"2200";"2980";"-";"-";"60";"2500"
"Ruy Barbosa (RN)";"432";"-";"-";"-";"-";"1526";"-";"-";"-";"-";"198";"-";"-";"-";"-";"868";"-";"-";"-";"-";"406";"-";"-";"-";"-";"842";"-";"-";"-";"-";"594";"-";"-";"-";"-";"314";"-";"-";"-";"-";"338";"-";"-";"-";"-";"638";"-";"-";"-";"-";"644";"-";"-";"-";"-"
"Santa Cruz (RN)";"4364";"-";"-";"-";"-";"4469";"-";"-";"-";"-";"534";"-";"-";"-";"-";"1811";"-";"-";"-";"-";"697";"-";"-";"-";"-";"3093";"-";"-";"-";"-";"1948";"-";"-";"-";"-";"928";"-";"-";"-";"-";"2017";"-";"-";"-";"-";"2572";"-";"-";"-";"-";"2393";"-";"-";"3";"-"
"Santana do Matos (RN)";"850";"-";"-";"0";"-";"1710";"-";"-";"10";"-";"1095";"-";"-";"20";"-";"615";"-";"-";"10";"-";"1578";"-";"-";"-";"-";"1728";"-";"-";"-";"-";"1802";"-";"-";"-";"-";"4260";"-";"-";"-";"-";"4010";"-";"-";"-";"-";"3570";"-";"-";"20";"-";"3035";"-";"-";"5";"-"
"Santana do Seridó (RN)";"139";"-";"-";"-";"-";"146";"-";"-";"1";"-";"115";"-";"-";"1";"-";"8";"-";"-";"-";"-";"152";"-";"-";"-";"-";"152";"-";"-";"-";"-";"208";"-";"-";"-";"-";"261";"-";"-";"-";"-";"192";"-";"-";"-";"-";"311";"-";"-";"100";"-";"117";"-";"-";"10";"-"
"Santo Antônio (RN)";"2011";"-";"-";"-";"-";"2725";"-";"-";"-";"-";"1021";"-";"-";"-";"-";"1631";"-";"-";"-";"-";"956";"-";"-";"-";"-";"662";"-";"-";"-";"-";"1337";"-";"-";"-";"-";"987";"-";"-";"-";"-";"3737";"-";"-";"-";"-";"3737";"-";"-";"-";"-";"3737";"-";"-";"-";"-"
"São Bento do Norte (RN)";"590";"-";"-";"-";"8";"835";"-";"-";"6";"8";"339";"-";"-";"-";"-";"712";"-";"-";"10";"8";"674";"-";"-";"8";"8";"1072";"-";"-";"8";"8";"831";"-";"-";"8";"8";"1064";"-";"-";"5";"2";"586";"-";"-";"6";"5";"600";"-";"-";"-";"-";"557";"-";"-";"5";"-"
"São Bento do Trairí (RN)";"156";"-";"-";"-";"-";"1278";"-";"-";"-";"-";"109";"-";"-";"-";"-";"208";"-";"-";"-";"-";"456";"-";"-";"-";"-";"855";"-";"-";"-";"-";"558";"-";"-";"-";"-";"456";"-";"-";"-";"-";"654";"-";"-";"-";"-";"1034";"-";"-";"-";"-";"668";"-";"-";"-";"-"
"São Fernando (RN)";"111";"-";"3";"4";"-";"288";"-";"3";"4";"-";"153";"-";"3";"2";"-";"166";"-";"3";"2";"-";"245";"-";"3";"5";"-";"194";"-";"3";"-";"-";"321";"-";"-";"10";"-";"321";"-";"-";"10";"-";"329";"-";"-";"10";"-";"159";"-";"-";"13";"-";"203";"-";"-";"23";"-"
"São Francisco do Oeste (RN)";"98";"-";"6";"-";"-";"600";"-";"6";"-";"-";"446";"-";"-";"-";"-";"437";"-";"-";"-";"-";"414";"-";"-";"-";"-";"240";"-";"-";"-";"-";"255";"-";"-";"-";"-";"734";"-";"-";"-";"-";"314";"-";"-";"-";"-";"412";"-";"-";"-";"-";"396";"-";"-";"-";"-"
"São Gonçalo do Amarante (RN)";"4597";"60";"2530";"-";"-";"2977";"6";"-";"-";"-";"1486";"6";"-";"-";"-";"2406";"6";"-";"-";"-";"1621";"-";"-";"-";"-";"1519";"-";"-";"-";"-";"1501";"-";"-";"-";"-";"1939";"-";"300";"-";"-";"1739";"-";"100";"-";"-";"1739";"-";"100";"-";"-";"1739";"-";"100";"-";"-"
"São João do Sabugi (RN)";"76";"-";"-";"1";"-";"736";"-";"-";"182";"-";"95";"-";"-";"-";"-";"73";"-";"-";"-";"-";"304";"-";"-";"5";"1";"281";"-";"-";"-";"-";"284";"-";"-";"8";"-";"249";"-";"-";"5";"5";"286";"-";"-";"5";"-";"252";"-";"-";"4";"-";"243";"-";"-";"4";"-"
